director_name;gender;movies_nb;fidelity_rel;fidelity_abs
Jack Hofsiss;2;5;0.4;2
Richard Friedman;2.0;9;0.0;0
Christian Faure;2.0;12;0.6;7
Jean Chapot;2;5;0.4;2
John Newland;2.0;10;0.2;2
Dick Clement;2.0;7;0.3;2
Ann Turner;2;5;0.4;2
Kai S. Pieck;2;2;0.0;0
Robert Luketic;2.0;9;0.4;4
Peter Chelsom;2.0;9;0.7;6
Rudolf Jugert;2.0;43;1.4;60
Günter Scholz;2;1;0.0;0
Bernd Eichinger;2.0;2;0.0;0
Jacques Nahum;2;1;0.0;0
Thomas Brasch;2;3;0.7;2
Franz Antel;2;76;3.2;240
Michael Herbig;2.0;7;1.9;13
Rick Alyea;2;2;1.0;2
Florian Baxmeyer;2.0;13;1.5;20
Bernd Schadewald;2;9;1.6;14
André Cayatte;2;28;1.2;33
Jean-Paul Le Chanois;2.0;16;1.9;30
Marcel Bluwal;2;9;0.2;2
Robert Hossein;2.0;15;0.7;11
Riccardo Freda;2.0;34;1.4;47
Nico Hofmann;2.0;11;1.4;15
Eberhard Itzenplitz;2.0;36;0.8;29
Santosh Sivan;2.0;9;0.8;7
Granz Henman;2;5;1.0;5
Peter Hyams;2.0;22;1.2;26
Felix Kersting;2;1;0.0;0
Neil Armfield;2.0;5;0.0;0
Georges Franju;2.0;22;0.9;19
Peter Fleischmann;2;10;0.2;2
Noel Langley;2.0;4;0.5;2
Muriel Box;1.0;12;0.7;8
Yves Allégret;2.0;20;1.1;23
Fabrizio Laurenti;2;3;0.0;0
Claude-Jean Bonnardot;2;3;0.0;0
Roy Ward Baker;2.0;33;1.3;44
Henry King;2.0;61;2.7;163
Anatole Litvak;2.0;32;1.5;47
Henry Hathaway;2;61;2.8;171
André Michel;2;6;0.0;0
Burkhard Driest;2;1;0.0;0
Willi Forst;2.0;19;1.8;34
Rebecca Miller;1.0;5;1.2;6
Daniel Vigne;2;5;0.4;2
Jean-Jacques Beineix;2.0;8;0.5;4
Denys Arcand;2.0;21;1.0;22
Claude Barma;2;6;0.3;2
Sean S. Cunningham;2.0;12;0.0;0
Rainer Wolffhardt;2.0;42;1.1;48
Iván Zulueta;2;13;0.2;2
Víctor Erice;2.0;7;0.6;4
Jaime Chávarri;2.0;17;1.0;17
Luis García Berlanga;2.0;20;2.4;48
Robert A. Stemmle;2.0;39;1.3;52
Bigas Luna;2.0;19;0.9;17
Andrew Dominik;2.0;7;0.9;6
Patrice Leconte;2.0;32;2.4;78
Shekhar Kapur;2.0;7;0.9;6
Jean Becker;2.0;13;2.2;28
Kevin Lima;2.0;6;1.7;10
Rudolf Zehetgruber;2;14;1.4;19
Gianfranco Parolini;2.0;22;2.7;59
Claude Autant-Lara;2.0;33;1.4;47
Raoul Lévy;2;1;0.0;0
Roberto Mauri;2;20;1.2;25
Simon Kerslake;2;2;0.0;0
