director_name;gender;movies_nb;fidelity_rel;fidelity_abs
William Conrad;2;4;1.2;5
Álvaro de Armiñán;2;3;0.0;0
Tim Haines;2;1;0.0;0
Frank Otto;2.0;1;0.0;0
John Hyams;2.0;7;1.0;7
David Michael Latt;2.0;6;0.8;5
Bob Bragg;2.0;2;1.0;2
Sarah Nean Bruce;2;1;0.0;0
Howie Askins;2;2;0.0;0
Kevin MacDonald;2;1;0.0;0
Ruy Guerra;2.0;13;1.1;14
Mauritz Stiller;2;20;1.5;30
Karim Traïdia;2;3;0.7;2
Richard Styles;2;4;0.5;2
Eleanor Lindo;1.0;7;3.3;23
Alberto De Martino;2.0;27;1.4;39
Luigi Scattini;2.0;10;1.5;15
Giacomo Rossi-Stuart;2;1;0.0;0
Yoram Gross;2;16;1.6;25
Martin Sheen;2.0;1;0.0;0
Kevin Jordan;2.0;2;0.0;0
Kevin Anderson;2.0;1;0.0;0
Ian Emes;2.0;3;0.0;0
Jerry Hopper;2.0;19;1.4;27
Harold Daniels;2.0;9;0.2;2
J.A. Steel;2;4;1.0;4
Sean Cain;2.0;6;1.2;7
Cesare Canevari;2;7;0.3;2
Sv Bell;2;6;3.0;18
Geoff Klein;2;2;1.0;2
Steven L. Johnson;2;1;0.0;0
Warren Kiefer;2;3;0.7;2
Bert Kish;2;5;0.0;0
Stephen Scott;2;1;0.0;0
James Salisbury;2;1;0.0;0
Fabrizio De Angelis;2;18;2.4;43
Bill Milling;2;4;0.5;2
Jean-Marie Pallardy;2.0;10;0.7;7
Daisuke Nishio;2;12;1.9;23
Ansgar Niebuhr;2;2;2.0;4
Andrew Merkelbach;2;2;1.0;2
Nigel Finch;2;5;0.0;0
Banmei Takahashi;2;14;0.7;10
Chris Angel;2.0;5;1.2;6
Gustav Machatý;2;11;0.0;0
Alain Robbe-Grillet;2;9;2.8;25
Daniel Roebuck;2.0;1;0.0;0
Claudia Llosa;1.0;4;0.5;2
Mohy Quandour;2;2;0.0;0
Lee Frost;2.0;24;1.1;26
Aspen Clark;2;1;0.0;0
Alfred Shaughnessy;2.0;4;0.5;2
Kevin Tancharoen;2.0;4;0.5;2
Quentin Lawrence;2.0;6;1.0;6
Mario Caiano;2.0;24;1.7;41
Dennis Muren;2.0;3;2.7;8
Doug Spangenberg;2;5;0.0;0
Michael Worth;2.0;5;0.4;2
Daryl Goldberg;2.0;1;0.0;0
Alex Horwitz;2;2;0.0;0
Masami Ôbari;2.0;5;1.6;8
Richard Hawkins;2.0;1;0.0;0
Terry Kinney;2.0;1;0.0;0
Vardit Bilu;2;2;0.0;0
Lee Grant;1.0;9;0.2;2
Dmitry Grachev;2;2;0.0;0
Jim Clark;2.0;5;0.0;0
John Gilling;2.0;33;1.7;56
Tim Beckley;2;1;0.0;0
Ralph Hemecker;2.0;9;0.0;0
Paul Warner;2.0;1;0.0;0
Bob Kelljan;2.0;5;1.6;8
Cody Jarrett;2;3;1.3;4
Graham Reznick;2;3;0.0;0
David Markey;2;10;0.2;2
Fred Garson;2;1;0.0;0
Jean LaFleur;2;2;0.0;0
Anthony Bushell;2.0;3;0.0;0
George Archainbaud;2.0;71;2.7;192
Ashley Schwartau;2;1;0.0;0
Gus Trikonis;2.0;20;0.7;13
Yasuichiro Yamamoto;2;4;0.0;0
Richard Driscoll;2;5;0.4;2
Giovanni Pianigiani;2;1;0.0;0
Philippe Mora;2;17;0.7;12
Joseph Manduke;2.0;7;0.0;0
Corey Allen;2;14;0.3;4
Ray Danton;2.0;4;0.0;0
Al Festa;2;2;1.0;2
Daniel Colas;2;3;1.3;4
Rupert Glasson;2.0;2;1.0;2
Eddie Romero;2.0;26;1.9;49
Enzo Milioni;2;3;0.0;0
Jay Kamen;2.0;2;0.0;0
Prakash Jha;2.0;11;1.3;14
Jordi Gigó;2;1;0.0;0
Jeff Jenkins;2.0;1;0.0;0
José Antonio de la Loma;2;22;1.3;28
Alain Payet;2;4;0.0;0
Brett Morgen;2.0;5;0.0;0
Eiichiro Hasumi;2;11;2.6;29
Gianni Martucci;2;5;0.0;0
Brunello Rondi;2;12;1.5;18
Gary Cohen;2;3;0.7;2
Oliver Krekel;2.0;4;0.5;2
Jake Rademacher;2;1;0.0;0
Maria Lease;1.0;1;0.0;0
John Carr;2.0;4;1.0;4
Homi Adajania;2;3;3.3;10
Anthony Byrne;2;3;0.0;0
Federico Curiel;2.0;52;3.0;155
Nathan Hope;2.0;1;0.0;0
Peter Del Monte;2;11;0.7;8
Bruce D. Clark;2;4;0.5;2
Stefan Hutchinson;2;1;0.0;0
Kevin M. Glover;2;2;4.0;8
Zackary Adler;2;6;1.0;6
Simon Curtis;2.0;13;0.3;4
James Lemmo;2.0;6;0.3;2
Milan Konjević;2.0;2;1.0;2
Jay Woelfel;2;11;1.3;14
Thunder Levin;2.0;3;0.7;2
Glen Grefe;2;1;0.0;0
Simon Verhoeven;2.0;5;1.6;8
Joseph Conti;2;2;0.0;0
Mohamed Khan;2.0;17;0.9;15
Douglas Cheney;2;1;0.0;0
J.D. Casey;2;2;2.0;4
Jon Weimer;2;1;0.0;0
Lory-Michael Ringuette;2;2;1.0;2
Mike Watt;2;3;2.3;7
Matt Spease;2;4;0.0;0
Anthony Spadaccini;2;3;3.0;9
Jay Lind;2;7;2.0;14
Sol Clink;2;1;0.0;0
Matt Walker;2;1;0.0;0
Attila Dargay;2;4;0.0;0
Carlos Enrique Taboada;2;10;1.8;18
Francis Megahy;2.0;8;0.8;6
Jayant R. Harnam;2;2;2.0;4
Samira Makhmalbaf;2;4;0.0;0
Pedro Chaves;2;1;0.0;0
Henrique Goldman;2;3;0.0;0
Søren Fauli;2;5;0.4;2
Áron Gauder;2;1;0.0;0
Juan Martínez Moreno;2;3;0.0;0
Mika Kaurismäki;2.0;30;1.0;31
Maurício Farias;2.0;5;2.4;12
John Alan Thompson;2;2;0.0;0
Tim Rayne;2;1;0.0;0
Þorsteinn Gunnar Bjarnason;2.0;1;0.0;0
Cirio H. Santiago;2.0;48;1.8;86
Arnold Fanck;2.0;14;1.9;27
Marshall Curry;2;4;0.0;0
Tommy Withrow;2.0;1;0.0;0
Brian Katkin;2.0;6;0.0;0
Stanley Yung;2;4;0.0;0
Wyott Ordung;2;2;0.0;0
Michael Criscione;2;1;0.0;0
Robert Marcarelli;2.0;6;0.0;0
Joe Viola;2.0;2;0.0;0
Stephanie Rothman;1.0;6;1.0;6
Joel M. Reed;2;6;0.3;2
Irvin Berwick;2;6;1.0;6
Eric Blakeney;2.0;1;0.0;0
Chris Terrio;2;1;0.0;0
Louis Feuillade;2.0;100;2.0;197
John Shepphird;2.0;7;0.0;0
Daniel Barone;2;4;0.8;3
Lou Vockell;2;7;1.7;12
Silvio Bandinelli;2;1;0.0;0
Jill Goldman;2;1;0.0;0
Jean-Paul Ouellette;2;3;1.3;4
Oksal Pekmezoğlu;2;2;0.0;0
James Landis;2.0;6;0.3;2
Bruce Geller;2.0;2;0.0;0
Oliver Hodge;2;1;0.0;0
Jack Gage;2;2;0.0;0
Rick Ernst;2;1;0.0;0
Thanasis Antoniou;2;4;0.0;0
Cherien Dabis;1.0;2;2.0;4
Daniel E. Catullo;2;5;1.6;8
Paul Shapiro;2.0;18;0.0;0
Robert D. Siegel;2.0;2;0.0;0
John Krasinski;2.0;3;0.0;0
Ramón Menéndez;2.0;3;0.0;0
Arnon Zadok;2;5;0.0;0
Calum Grant;2;1;0.0;0
Sergio Pastore;2;5;0.4;2
Vittorio Sindoni;2;13;1.6;21
Giuliano Carnimeo;2;25;2.5;63
Mino Guerrini;2;16;0.8;12
Jayson Rothwell;2;1;0.0;0
Silvana Zancolo;2;2;0.0;0
Malcolm Venville;2.0;2;0.0;0
Giovanni Simonelli;2;1;0.0;0
Mario Bianchi;2.0;22;1.3;28
Piccio Raffanini;2;1;0.0;0
Peter Neale;2;1;0.0;0
Manuel Sicilia;2;2;0.0;0
Andy Milligan;2.0;26;2.0;51
Gerri Sedley;2;1;0.0;0
Richard Endelson;2;1;0.0;0
Robert L. Roberts;2;1;0.0;0
Donald Wolfe;2;1;0.0;0
Tony DeGuide;2;2;3.0;6
Bobby Ray Akers Jr.;2.0;2;0.0;0
David DeFino;2;1;0.0;0
Chad Ferrin;2;6;0.3;2
Chris R. Notarile;2;45;2.2;99
Arch Oboler;2.0;7;0.6;4
László Kardos;2;5;0.8;4
John Hoffman;2;7;0.3;2
Leslie Goodwins;2.0;66;2.6;173
Charles Busch;2.0;2;0.0;0
Andrucha Waddington;2;10;1.9;19
Luis Puenzo;2;4;0.0;0
Sergey Bondarchuk;2.0;12;0.9;11
Yoshitaro Nomura;2;12;1.0;12
Jun Ichikawa;2;18;0.8;14
Yannis Smaragdis;2;3;0.7;2
Athina Tsoulis;2;2;0.0;0
Nick Murphy ;2.0;6;1.0;6
David Kennard;2;5;0.0;0
David Padrusch;2;2;1.0;2
Martin Otevrel;2;1;0.0;0
Raúl Ruiz;2.0;72;1.1;78
Francis D. Lyon;2.0;14;0.9;12
Oleg Pogodin;2.0;4;0.5;2
Richard Galbreath;2;1;0.0;0
Isidoro M. Ferry;2;1;0.0;0
Pierre Minhondo;2;2;2.0;4
José Alvarenga Jr.;2.0;12;2.7;32
Emmett Alston;2;6;0.0;0
Lindsay Shonteff;2.0;21;1.0;20
Amber Cordero;2;1;0.0;0
Dave McVeigh;2;2;3.0;6
Eloy de la Iglesia;2.0;22;2.5;54
Renzo Russo;2;5;0.0;0
Alfredo Zacarías;2;18;1.9;35
Barbara Peeters;1.0;4;0.0;0
Thierry Notz;2.0;4;0.5;2
Mabel Cheung;2;8;1.0;8
Arthur Crabtree;2;13;1.7;22
Markus Innocenti;2;2;0.0;0
Piero Vivarelli;2;9;0.4;4
Tano Cimarosa;2;3;0.7;2
Yi-an Lou;2;3;0.7;2
Eldar Salavatov;2;2;0.0;0
Reinaldo Pinheiro;2;2;0.0;0
Hari Mahesh;2;1;0.0;0
Bernard Knowles;2.0;13;1.9;25
Christjan Wegner;2;5;0.0;0
Ivan Calbérac;2;6;0.3;2
Andy Abrahams Wilson;2.0;2;0.0;0
Pekka Parikka;2;2;1.0;2
Gene Feldman;2;7;0.0;0
Larry N. Stouffer;2;1;0.0;0
James Mottern;2;2;0.0;0
Ángel Manuel Soto;2;6;0.0;0
Dan Milner;2;2;1.0;2
Victor Adamson;2;9;0.9;8
Randall Hood;2;2;0.0;0
Mollie Miller;2;4;1.5;6
Kim Sønderholm;2;6;0.0;0
Mel House;1.0;3;0.0;0
Geraldine Winters;2;3;0.0;0
Jimmyo Burril;2;4;2.0;8
Massimiliano Cerchi;2;6;1.0;6
Åke Lindman;2;3;0.0;0
Tino Schwanemann;2;4;0.8;3
Júlio Bressane;2.0;30;1.6;48
Jefery Levy;2.0;5;0.0;0
Lee Soo-yeon;1.0;2;0.0;0
Marcel Gisler;2;4;0.0;0
Jimmy Wang Yu;2.0;8;0.9;7
Nietzchka Keene;2;1;0.0;0
Rex Ingram;2.0;14;2.0;28
Felix E. Feist;2.0;29;0.7;21
Frank Wisbar;2.0;29;1.0;28
Bernard Carr;2;2;2.0;4
Boris Ingster;2.0;3;0.7;2
Rachel Ward;1.0;3;0.7;2
Waris Hussein;2.0;40;0.8;31
Francisco Rodríguez Gordillo;2;5;0.0;0
Joaquín Luis Romero Marchent;2.0;19;2.2;42
Edward Sloman;2.0;17;0.8;13
John Patterson;2.0;14;0.0;0
David M. Rosenthal;2.0;5;0.0;0
Dennis Vincent;2;1;0.0;0
Greg Lewolt;2;2;0.0;0
Mark Baranowski;2;3;1.0;3
Grant Austin Waldman;2;3;1.3;4
D.T. Carney;2;1;0.0;0
Fauzi Mansur;2.0;25;1.9;47
André Génovès;2;2;1.0;2
Alain Deruelle;2;1;0.0;0
Shakti Samanta;2.0;16;2.8;45
Jugal Hansraj;2.0;1;0.0;0
David Hughes;2.0;2;0.0;0
Paco Lucio;2;1;0.0;0
Luis María Delgado;2;25;1.4;35
Reed Richmond;2;1;0.0;0
Chester Fox;2;1;0.0;0
Jean Van Hearn;2;3;0.0;0
Frank Patterson;2;2;0.0;0
Sigrid Klausmann-Sittler;2;2;0.0;0
Robert M. Young	;2;1;0.0;0
Jesper Møller;2;2;0.0;0
José Luis Guerin;2;15;0.3;5
Rafael Romero Marchent;2;25;1.8;44
Sidney W. Pink;2;4;0.0;0
David Michael Quiroz Jr.;2;2;0.0;0
Alex Infascelli;2;6;0.3;2
John Kaye Cooper;2;3;0.7;2
Tom Jeffrey;2;3;0.7;2
Tony Silver;2;1;0.0;0
Chris Staron;2;1;0.0;0
Sidney Gilliat;2.0;10;0.4;4
John R. Bowey;2.0;1;0.0;0
Lawrence Thomas;2;1;0.0;0
Oliver Drake;2;23;2.4;55
Jim McCullough Sr.;2;4;0.0;0
Walter Forde;2.0;38;1.9;74
Dave Campfield;2;5;1.8;9
Robert Rhodin;2.0;1;0.0;0
John Birmingham;2;1;0.0;0
Mitchell Leisen;2.0;39;2.8;108
Brett Kelly;2.0;19;2.0;38
Norberto Barba;2.0;5;0.0;0
Michelle Deal;2;2;2.0;4
Edward Holzman;2;16;1.3;21
Neten Chokling;2;1;0.0;0
Maurice Tobias;2;1;0.0;0
Christopher Forbes;2;10;1.8;18
John Huckert;2;2;1.0;2
Vinnie Bilancio;2;2;0.0;0
Daniel D'Or;2;2;1.0;2
John T. Bone;2;6;0.3;2
Henri Pachard;2.0;1;0.0;0
Stephen C. Apostolof;2;14;2.8;39
T.L. Lankford;2.0;1;0.0;0
Domonic Paris;2;5;0.0;0
Fred P. Watkins;2;3;0.0;0
Tim Colceri;2.0;1;0.0;0
Jonathan Dueck;2.0;3;0.0;0
Wallace Potts;2;1;0.0;0
Robbie Bryan;2;2;0.0;0
Lane Shefter Bishop;2;2;0.0;0
Maurice Elvey;2.0;63;1.6;99
Eric Bilodeau;2;1;0.0;0
Geoffrey de Valois;2;4;1.8;7
Alberto Abruzzese;2;1;0.0;0
Everette Hartsoe;2;4;1.5;6
Magnus Egler;2;2;0.0;0
Erik Fritjofson;2;1;0.0;0
Dane Cannon;2.0;1;0.0;0
Zak Bagans;2;1;0.0;0
Froi Cuesta;2;1;0.0;0
Jesús García;2;2;0.0;0
Manny Coto;2.0;6;0.0;0
Rowland Brown;2.0;3;0.0;0
Adam Dubin;2;8;0.6;5
Steven Smith;2;3;1.3;4
Rod Bingaman;2.0;1;0.0;0
Bobby Sheehan;2;5;0.0;0
Kazuya Konaka;2;12;1.2;14
J. Grimm;2;1;0.0;0
Mrinal Sen;2.0;21;1.0;22
Mario Cimadevilla;2;2;0.0;0
Lloyd A. Simandl;2.0;31;0.9;29
Charla Driver;1.0;1;0.0;0
Richard W. Munchkin;2.0;10;2.0;20
Eriq La Salle;2.0;3;0.7;2
Joseph F. Robertson;2;4;0.0;0
Steven Pearl;2.0;3;0.7;2
Philip Marcus;2;2;0.0;0
Harry Hurwitz;2.0;9;1.1;10
Rosemarie Turko;2;1;0.0;0
Piotr Trzaskalski;2;4;1.0;4
Lawrence Blume;2;2;0.0;0
Lauri Nurkse;2;5;0.4;2
Theodore Gershuny;2;4;0.8;3
Myrl A. Schreibman;2;2;0.0;0
John C. Broderick;2.0;2;0.0;0
Alfonso Corona Blake;2;22;1.7;37
Miguel Morayta;2;45;1.8;82
Alfredo B. Crevenna;2;80;2.5;204
Irving Cummings;2.0;44;2.1;92
Mudassar Aziz;2;2;0.0;0
Cole S. McKay;2.0;5;0.0;0
Lewis Schoenbrun;2.0;4;0.0;0
Mark Tapio Kines;2;1;0.0;0
Lonnie Martin;2;2;0.0;0
Joe Finley;2;1;0.0;0
Ray McKinnon;2.0;3;1.3;4
Jeff Richter;2;1;0.0;0
Stuart Hazeldine;2;3;0.0;0
Howard Michael Gould;2.0;1;0.0;0
Daniel Espinosa;2.0;8;0.9;7
Jesús del Cerro;2.0;5;0.4;2
Thomas Ashley;2;1;0.0;0
Severin Eskeland;2;2;0.0;0
Guy Crawford;2;3;0.0;0
Marc Saltarelli;2;2;1.0;2
Srđan Dragojević;2;8;3.2;26
Judith Vogelsang;2;2;0.0;0
Scott Harris;2;1;0.0;0
George Mendeluk;2.0;26;0.8;21
Bastian Clevé;2;1;0.0;0
Juan Logar;2;4;1.5;6
Raju Patel;2;1;0.0;0
Mike Baronas;2;1;0.0;0
Ryousuke Takahashi;2;10;1.4;14
Jørn Winther;2;2;0.0;0
Harry Kerwin;2;9;2.0;18
Wayne Crawford;2.0;3;0.0;0
Robert Gordon;2;13;0.2;2
Thomas Dewier;2;2;0.0;0
Isamu Nakae;2;2;0.0;0
Seong-wook Kim;2;1;0.0;0
Jeong-wook Lee;2;1;0.0;0
Joanna Hogg;2;3;1.3;4
Jason Carvey;2;1;0.0;0
Anthony Fabian;2.0;2;0.0;0
Amir Chamdin;2.0;2;1.0;2
Bernard Vorhaus;2.0;26;1.0;26
Don Weis;2.0;19;1.4;26
Sara Johnsen;1.0;5;0.8;4
Charles David;2;1;0.0;0
Ari Gold;2.0;4;0.0;0
Adrián García Bogliano;2;10;0.6;6
Raymond Nassour;2;1;0.0;0
David A. Goldberg;2;1;0.0;0
Max Allan Collins;2;3;2.7;8
Roy Rowland;2.0;42;1.4;59
Todd A. Kaylor;2;1;0.0;0
Leo Fong;2.0;5;1.2;6
Park Chul-soo;2.0;16;0.8;13
Todd Fischer;2;1;0.0;0
Tom Kennedy;2;1;0.0;0
Chris Warren;2;1;0.0;0
Adam Bernstein;2.0;4;0.0;0
Umesh Vinayak Kulkarni;2;4;1.8;7
Amy Rice;1.0;3;0.0;0
Cheung Sum;2.0;12;1.2;15
Mark Anthony Galluzzo;2.0;2;0.0;0
K. Viswanath;2;16;1.9;30
Henry Cornelius;2.0;5;1.2;6
Billy Howerdel;2;1;0.0;0
Joe Perota;2;3;0.0;0
Mark Magidson;2.0;2;2.0;4
Jim McCullough Jr.;2;1;0.0;0
Guy Green;2.0;20;1.1;23
Li Yu;1.0;6;1.0;6
Damian Chapa;2.0;13;0.5;7
Tom Bussmann;2;1;0.0;0
Eric Mandelbaum;2.0;1;0.0;0
Don Most;2.0;3;0.0;0
Daniel Millican;2.0;5;0.0;0
Stewart Wade;2.0;3;0.0;0
Cláudio Torres;2.0;5;0.6;3
Bob Gosse;2.0;4;0.0;0
Mark Neale;2;6;2.3;14
Benoît Mariage;2.0;5;1.2;6
Nnegest Likké;1.0;2;0.0;0
Thomas Riedelsheimer;2;5;0.8;4
Soji Yoshikawa;2;1;0.0;0
Chris Munro;2.0;1;0.0;0
Yuji Morihara;2;1;0.0;0
Mark Cowen;2.0;3;0.0;0
Ricardo Trogi;2.0;5;3.8;19
Audu Paden;2;1;0.0;0
George King;2.0;22;0.7;16
Paul Justman;2.0;3;0.0;0
Marshall Brickman;2.0;4;0.5;2
Arne Lindtner Næss;2;14;3.6;51
Anton Leader;2.0;1;0.0;0
Matt King;2.0;1;0.0;0
Robert Boris;2;5;0.4;2
Kevin Carraway;2;4;0.0;0
Shaun Monson;2;2;0.0;0
Sophie Barthes;1.0;2;1.0;2
Staffan Lindberg;2;3;1.0;3
Feliks Falk;2;12;0.4;5
Jytte Abildstrøm;2;1;0.0;0
Dan DeVivo;2;1;0.0;0
Stuart Paton;2;7;0.6;4
Gilbert Namiand;2;5;0.8;4
Jean-Louis Cap;2;3;0.0;0
Robert Harling;2.0;1;0.0;0
David Wechter;2.0;3;0.0;0
Kayo Hatta;2;1;0.0;0
Patricia Cardoso;2;3;0.0;0
Ignacio F. Iquino;2;48;1.7;82
John 'Bud' Cardos;2;7;0.3;2
Jeff Thomas;2;3;0.7;2
Alejandro Chomski;2;4;0.0;0
Richard Standeven;2;3;0.0;0
Christina Wayne;2;1;0.0;0
Link Neal;2.0;1;0.0;0
Phil Grabsky;2.0;20;0.1;3
Robert Capelli Jr.;2.0;2;0.0;0
Aiden Dillard;2;2;0.0;0
Scott McCullough;2;2;0.0;0
Alan Roberts;2.0;7;0.6;4
Timothy Gates;2;1;0.0;0
Gordon Parry;2;15;0.9;13
Henriette Mantel;2;1;0.0;0
Nunzio La Bianca;2;1;0.0;0
John Saxon;2.0;1;0.0;0
Ben Dixon;2;4;2.2;9
James Morgart;2;1;0.0;0
Marc Fratto;2;3;1.3;4
Ajmal Zaheer Ahmad 	;2;2;0.0;0
Júlíus Kemp;2;2;0.0;0
Nathan Fisher;2;2;0.0;0
George Bonilla;2;4;0.5;2
Jacob Ennis;2;3;0.0;0
Michael Mongillo;2;3;0.7;2
Jerry Williams;2;2;1.0;2
Andrew Lauer;2.0;3;0.0;0
Carl J. Sukenick;2.0;13;0.8;11
Michael Bergmann;2;2;0.0;0
Ari M. Roussimoff;2;3;0.0;0
Randall M. Badat;2;1;0.0;0
James Beshears;2;1;0.0;0
Erik Fleming;2.0;4;0.0;0
Taylor Congdon;2;12;1.2;15
Jan Harlan;2.0;2;0.0;0
Steve Barkett;2.0;2;1.0;2
Daniel Ortiz-Entrambasaguas;2;1;0.0;0
Yuji Nakae;2;2;1.0;2
Louis Findlay;2;1;0.0;0
D.W. Kann;2.0;1;0.0;0
Brandon David;2.0;2;0.0;0
Tiago Guedes;2;4;1.0;4
Stefano Bessoni;2;1;0.0;0
Jeffrey Mandel;2;1;0.0;0
Michel Lemoine;2.0;3;0.7;2
Khwaja Sarfraz;2;1;0.0;0
Ed Hansen;2;7;1.6;11
Kelly Gordon;2;1;0.0;0
Bill Raymond;2.0;1;0.0;0
James P. Blake;2;1;0.0;0
Johnny Crash;2;3;2.3;7
Norman J. Warren;2.0;11;1.1;12
Phil Herman;2;3;1.7;5
Glenn Andreiev;2;1;0.0;0
Takashi Nakamura;2;4;0.0;0
Insane Mike Saunders;2;1;0.0;0
Victor Bonacore;2;3;0.0;0
Joe Davison;2;2;0.0;0
Jamie Greco;2;1;0.0;0
Edward G. Norris;2;1;0.0;0
Michael Tarzian;2;1;0.0;0
Barry Alexander Brown;2.0;1;0.0;0
Brian Owens;2.0;1;0.0;0
Sidney Mansa Winters;2;3;0.7;2
Alan Birkinshaw;2.0;6;1.3;8
Lewis Baumander;2;1;0.0;0
Kim Rossi Stuart;2.0;2;0.0;0
Rahul Rawail;2;12;1.4;17
Simon Ellis;2.0;6;0.7;4
Martin Curland;2;1;0.0;0
Raphaël Delpard;2;3;0.0;0
Byron Mabe;2.0;8;1.4;11
William Crain;2.0;5;0.0;0
Timothy O'Rawe;2;2;0.0;0
José Luis Merino;2;20;1.7;34
Douglas Barr;2.0;21;0.5;10
David Benullo;2.0;2;0.0;0
Jack Bond;2;5;0.0;0
Staffan Götestam;2;2;0.0;0
Stephen Weeks;2.0;4;0.0;0
Karen Arthur;2;23;0.3;8
Steven Esteb;2;1;0.0;0
Osamu Kaneda;2.0;14;2.4;33
Guy Moshe;2.0;2;0.0;0
Mikhail Porechenkov;2.0;1;0.0;0
Iku Suzuki;2;5;0.0;0
Vincent Paterson;2;5;0.0;0
Chester Erskine;2.0;6;0.3;2
Ric Cantor;2;1;0.0;0
Stanislav M. Sokolov;2.0;3;0.0;0
Jacques Feyder;2.0;25;1.0;25
Yılmaz Erdoğan;2.0;10;1.7;17
Bruce A. Block;2.0;1;0.0;0
Edward D. Murphy;2;2;0.0;0
Jonathan Heap;2.0;5;0.0;0
Steven Lovy;2.0;2;2.0;4
Kostas Karagiannis;2.0;47;2.1;100
Damian Klaus;2;1;0.0;0
Fred Gallo;2;8;0.2;2
Paul Lynch;2.0;21;1.1;23
Donald Wrye;2.0;23;0.5;12
Lee Philips;2.0;12;0.3;4
Russ Parr;2.0;8;0.9;7
Thomas Mignone;2.0;2;0.0;0
Albertina Carri;1.0;6;0.3;2
Ken Ghosh;2.0;3;1.0;3
Agneta Elers-Jarleman;2;2;0.0;0
Göran Carmback;2;5;2.2;11
Lars Calonius;2;1;0.0;0
Michael Elliot;2;1;0.0;0
William Richert;2.0;4;0.5;2
Gérard Kikoïne;2.0;7;0.0;0
Isidro Ortiz;2;6;0.7;4
John Tatoulis;2;3;0.0;0
Tab Murphy;2.0;1;0.0;0
Chuck Cirino;2.0;2;0.0;0
David Oliver;2.0;1;0.0;0
Adam Cole;2;11;0.7;8
Michael J. Murphy;2.0;23;2.8;65
Scott P. Plummer;2;1;0.0;0
John Stanley;2;1;0.0;0
Dennis Saunders;2;1;0.0;0
Ellen Perry;2;2;0.0;0
Wilhelm Liebenberg;2.0;1;0.0;0
William H. Molina;2;2;0.0;0
Jim Dziura;2;2;0.0;0
Peter Flynn;2.0;3;0.0;0
Antony Balch;2;7;1.0;7
Jeff Campagna;2;1;0.0;0
Viktors Ritelis;2;3;0.7;2
Jeb Brien;2;8;1.9;15
Norman Maurer;2.0;3;3.0;9
Simon Aeby;2;2;0.0;0
Brian D. Horrorwitz;2;1;0.0;0
Carlitos Ruiz Ruiz;2;1;0.0;0
Tom Moore;2;8;0.0;0
Joseph P. Mawra;2;11;0.6;7
Jennifer Leitzes;1.0;1;0.0;0
 E.W. Swackhamer;2;21;0.3;6
Claudio Guzmán;2;3;0.0;0
Joseph W. Sarno;2.0;42;2.1;89
Raphael Nussbaum;2.0;8;0.2;2
Colin Eggleston;2;6;0.7;4
Ray Nadeau;2;1;0.0;0
Stu Segall;2;9;1.1;10
Jeff Arch;2.0;1;0.0;0
Peter Spirer;2.0;9;0.4;4
Min Gyoo-dong;2.0;7;1.4;10
Henrik Hellström;2;3;0.7;2
Petra Epperlein;1.0;4;0.0;0
Aleksandr Melnik;2;2;1.0;2
Gabriele Albanesi;2.0;3;0.0;0
Mehdi Norowzian;2;2;0.0;0
Bob McKeown;2;1;0.0;0
Stephen Kijak;2.0;7;0.0;0
Bill Butt;2;1;0.0;0
Laura Gabbert;1.0;4;0.0;0
Anil Sharma;2.0;6;0.8;5
James Miller;2;2;0.0;0
Caroline Suh;2;2;0.0;0
Chano Urueta;2;67;2.6;174
Carlos Hugo Christensen;2.0;31;1.3;41
Nico Mastorakis;2;15;1.3;19
William Byron Hillman;2;6;0.7;4
Pierre David;2.0;2;0.0;0
Jim O'Connolly;2.0;7;0.3;2
Timothy Galfas;2.0;3;0.0;0
Tony Leung Siu-Hung;2;9;0.2;2
Philip Saville;2.0;30;0.4;11
Edward Ryan;2;1;0.0;0
Chris Menges;2.0;4;0.0;0
Perry Joseph;2;1;0.0;0
Pete McCormack;2.0;3;0.0;0
Abel Ferry;2;3;0.7;2
Michel O. Scott;2;1;0.0;0
Cevin D. Soling;2.0;1;0.0;0
Michael Grossman;2.0;6;0.0;0
Ramiro Aguilar;2;1;0.0;0
Jonathan Sarno;2;2;0.0;0
Del Tenney;2.0;4;0.0;0
Ma-Xu Weibang;2.0;3;0.0;0
James Aviles Martin;2;1;0.0;0
John Elias Michalakis;2;1;0.0;0
E. Max Frye;2;1;0.0;0
Dominique Forma;2;1;0.0;0
Jaco Van Dormael;2.0;5;0.0;0
Robert Patton-Spruill;2.0;2;0.0;0
Kiefer Sutherland;2.0;3;0.0;0
John Doyle;2.0;3;0.7;2
Shamim Sarif;1.0;3;1.3;4
Cristi Puiu;2;7;1.4;10
Ryutaro Nakamura;2;4;0.5;2
Alex Galvin;2;2;0.0;0
Lisbet Dahl;2;7;3.3;23
Brad J. Silverman;2;2;0.0;0
Sherman A. Rose;2;3;0.0;0
Ali Selim;2;1;0.0;0
Takeshi Shirado;2;1;0.0;0
Monkey Punch;2;1;0.0;0
Hideki Tonokats;2;1;0.0;0
Koji Enokido;2;1;0.0;0
Giuseppe De Santis;2;11;3.0;33
Gleb Orlov;2;2;0.0;0
Togan Gökbakar;2;8;1.0;8
Eric Laneuville;2.0;11;0.0;0
Alex De Rakoff;2;2;0.0;0
Laura Mañá;1.0;7;0.9;6
Jonathan Liebert;2;3;0.7;2
Ari Sandel;2;4;0.5;2
Alexander Grasshoff;2;9;0.0;0
