title;imdb_rating;viewing_date;personal_rating;children;tmdb_id;original_language;vote_count;vote_average;release_date;original_title;budget;revenue;runtime;imdb_id;production_country;production_countries_number;production_company;production_companies_number;genre;genre_number;director;director_number;producer;producer_number;actor_number
Women in love;7,5;10/01/2015;2;none;66027;en;25;5.9;1969-09-01;Women in Love;1250000;0;131;tt0066579;none;0;Brandywine Productions Ltd.;1;Drama;2;Ken Russell;1;none;0;18
Suzaku;8,2;10/01/2015;1;none;36895;ja;14;6.4;1997-01-01;萌の朱雀;0;0;95;tt0119687;Japan;1;Bandai Visual Company;2;Drama;1;Naomi Kawase;1;Takenori Sentô;1;5
Occident;7,8;09/01/2015;3;none;38907;ro;3;6.3;2002-05-23;Occident;0;0;105;tt0320194;Romania;1;Temple Film;1;Comedy;1;Cristian Mungiu;1;none;0;20
Grizzly man;7,8;09/01/2015;4;none;501;en;182;7.2;2005-08-12;Grizzly Man;0;0;103;tt0427312;United States of America;1;Discovery Docs;1;Documentary;1;Werner Herzog;1;Erik Nelson;1;8
Only lovers left alive;7,3;05/01/2015;4;none;152603;en;523;7.2;2013-12-12;Only Lovers Left Alive;7000000;0;123;tt1714915;United States of America;5;Pandora Film;7;Drama;2;Jim Jarmusch;1;Jeremy Thomas;2;9
De bon matin;6,5;03/01/2015;1;none;89705;fr;6;6.3;2011-10-05;De bon matin;0;0;90;tt1877602;France;2;Les Films du Losange;2;Drama;1;Jean-Marc Moutout;1;Margaret Ménégoz;2;10
Equilibrium;7,6;03/01/2015;4;ESMPA;7299;en;1411;6.9;2002-12-06;Equilibrium;20000000;5359645;107;tt0238380;United States of America;1;Dimension Films;2;Action;3;Kurt Wimmer;1;Jan de Bont;2;16
Battle Royale;7;01/01/2015;4;ES;3176;ja;868;7.3;2000-12-16;バトル・ロワイアル;4500000;25000000;114;tt0266308;Japan;1;Nippon Shuppan Hanbai (Nippan) K.K.;6;Drama;3;Kinji Fukasaku;1;Kinji Fukasaku;6;92
Saving private Ryan;8,6;01/01/2015;4;ESA;857;en;4612;7.9;1998-07-24;Saving Private Ryan;70000000;481840909;169;tt0120815;United States of America;1;Paramount Pictures;5;Drama;3;Steven Spielberg;1;Steven Spielberg;4;36
Tucker and Dale vs. Evil;7,6;31/12/2014;3;E;46838;en;784;7.3;2010-01-22;Tucker and Dale vs Evil;5000000;0;89;tt1465522;Canada;2;Eden Rock Media;1;Comedy;2;Eli Craig;1;Morgan Jurgenson;4;15
Black Coal;6,8;30/12/2014;3;none;255756;zh;70;6.4;2014-06-11;白日焰火;0;0;106;tt3469910;China;1;China Film Company;3;Crime;4;Yi'nan Diao;1;Vivian Qu;1;6
School of Rock;7,1;30/12/2014;3;ESMPA;1584;en;1240;6.7;2003-10-03;School of Rock;35000000;131282949;108;tt0332379;Germany;2;Paramount Pictures;6;Comedy;2;Richard Linklater;1;Scott Rudin;1;75
Gone Girl;8,3;30/12/2014;4;none;210577;en;5345;7.9;2014-10-01;Gone Girl;61000000;369330363;145;tt2267998;United States of America;1;Twentieth Century Fox Film Corporation;6;Mystery;3;David Fincher;1;Reese Witherspoon;6;72
Way down east;8;28/12/2014;3;none;31509;en;19;6.1;1920-09-03;Way Down East;0;0;145;tt0011841;United States of America;1;D.W. Griffith Productions;1;Drama;3;D.W. Griffith;1;D.W. Griffith;1;23
Farinelli;6,9;28/12/2014;2;none;10954;fr;17;5.9;1994-12-07;Farinelli;0;0;111;tt0109771;Belgium;3;Italian International Film;3;History;2;Gérard Corbiau;1;Véra Belmont;1;5
Elevator;7;27/12/2014;2;none;93394;en;43;4.9;2011-01-01;Elevator;5000000;0;84;tt1728975;United States of America;2;Quite Nice Pictures;1;Thriller;1;Stig Svendsen;1;none;0;12
Caravaggio;6,7;26/12/2014;1;none;20537;en;20;6.7;1986-08-29;Caravaggio;0;0;93;tt0090798;United Kingdom;1;British Film Institute (BFI);1;Drama;2;Derek Jarman;1;Sarah Radclyffe;1;20
Super;6,8;26/12/2014;2;none;45132;en;409;6.6;2010-09-09;Super;2500000;324138;96;tt1512235;United States of America;1;This Is That Productions;3;Comedy;3;James Gunn;1;Ted Hope;3;48
Into the white;7,1;25/12/2014;3;none;78215;en;85;6.9;2012-03-06;Into the White;0;704;100;tt1876277;Norway;2;Trollhättan Film AB;8;Action;2;Petter Næss;1;Peter Aalbæk Jensen;2;5
Iluminacja;7,1;24/12/2014;2;none;154575;pl;3;7.3;1973-09-29;Iluminacja;0;0;87;tt0070217;Poland;1;Film Polski Film Agency;2;Drama;1;Krzysztof Zanussi;1;none;0;5
Die Hard 2;7,1;24/12/2014;1;ESMPA;1573;en;1753;6.6;1990-07-02;Die Hard 2;70000000;240031094;124;tt0099423;United States of America;1;Twentieth Century Fox Film Corporation;3;Action;2;Renny Harlin;1;Joel Silver;3;44
Deux jours, une nuit;7,5;23/12/2014;3;none;221902;fr;299;6.8;2014-05-21;Deux jours, une nuit;7000000;6860853;95;tt2737050;Italy;3;BIM Distribuzione;14;Drama;1;Jean-Pierre Dardenne;2;Denis Freyd;3;12
Gasherbrum;7;21/12/2014;3;none;371587;en;0;0;2006-01-01;Gasherbrum II;0;0;0;;none;0;none;0;none;0;Niko Jäger;1;none;0;2
De rouille et d'os;7,5;21/12/2014;2;none;97365;fr;388;7.1;2012-05-17;De rouille et d'os;15400000;25762027;123;tt2053425;France;2;France 2 Cinéma;16;Drama;2;Jacques Audiard;1;Jacques Audiard;4;14
beyond the hills;7,6;21/12/2014;2;none;394845;ja;0;0;1950-07-08;山のかなたに;0;0;119;tt2075388;Japan;1;Shintoho Company;2;none;0;Yasuki Chiba;1;none;0;16
Tema;7,3;16/12/2014;3;none;131349;ru;6;5.3;1979-01-09;Tema;0;0;99;tt0079999;Russia;1;none;0;Drama;1;Gleb Panfilov;1;none;0;2
the berlin file;6,7;15/12/2014;2;none;160704;ko;52;6.5;2013-01-30;베를린;9000000;48965210;120;tt2357377;South Korea;1;CJ Entertainment;3;Action;3;Ryoo Seung-wan;1;Suran Guk;3;50
Child's pose;7,5;14/12/2014;3;none;160118;ro;25;6.6;2013-03-08;Poziţia copilului;1104000;0;116;tt2187115;Romania;1;Parada Film;2;Drama;1;Călin Peter Netzer;1;Ada Solomon;2;8
Under the skin;6,2;13/12/2014;1;none;97370;en;1009;6;2014-03-14;Under the Skin;13300000;5380251;108;tt1441395;Switzerland;3;Scottish Screen;10;Thriller;3;Jonathan Glazer;1;Nick Wechsler;2;24
The best offer;7,9;13/12/2014;3;none;152742;en;621;7.7;2013-01-01;La migliore offerta;13500000;19255873;124;tt1924396;Italy;1;Paco Cinematografica;6;Drama;4;Giuseppe Tornatore;1;Isabella Cocuzza;2;16
Broken Blossoms or The Yellow Man and the Girl;7;12/12/2014;3;none
Ice Age: Continental Drift;6,7;12/12/2014;2;ESMPA;57800;en;2415;6.2;2012-06-26;Ice Age: Continental Drift;95000000;877244782;88;tt1667889;United States of America;1;Blue Sky Studios;2;Animation;4;Steve Martino;2;none;0;37
the lunchbox;7,9;10/12/2014;2;none;191714;hi;207;7.3;2013-09-19;Dabba;1000000;4235151;104;tt2350496;India;3;UTV Motion Pictures;1;Drama;2;Ritesh Batra;1;none;0;9
california dreamin';8;10/12/2014;2;none;24220;ro;12;6;2007-06-01;California Dreamin' (Nesfârșit);1600000;0;155;tt0449573;Romania;1;Mediapro Studios;1;Drama;2;Cristian Nemescu;1;none;0;9
A scanner darkly;7,1;10/12/2014;1;none;3509;en;485;6.8;2006-05-25;A Scanner Darkly;8700000;7659918;100;tt0405296;United States of America;1;Thousand Words;4;Animation;3;Richard Linklater;1;Jonah Smith;7;16
Gantz;6,5;07/12/2014;3;ES;56832;ja;68;6.5;2011-01-26;Gantz;0;0;130;tt1525835;Japan;1;Toho Company;16;Horror;3;Shinsuke Sato;1;Takahiro Sato;3;13
La terre;6,8;07/12/2014;2;none;265297;fr;132;8.1;2014-09-27;Le sel de la terre;0;1059804;109;tt3674140;Italy;3;Région Ile-de-France;7;Documentary;1;Juliano Ribeiro Salgado;2;David Rosier;1;11
As above, so below;6,1;07/12/2014;1;E;256274;en;694;6.2;2014-08-14;As Above, So Below;5000000;40100000;93;tt2870612;United States of America;1;Legendary Pictures;1;Horror;2;John Erick Dowdle;1;Patrick Aiello;4;16
28 days later;8;06/12/2014;3;ES;170;en;1609;7;2002-10-31;28 Days Later;5000000;82719885;113;tt0289043;United Kingdom;1;DNA Films;2;Horror;3;Danny Boyle;1;Andrew Macdonald;1;22
Die Hard 3;8;06/12/2014;2;ESMPA;1572;en;1904;6.9;1995-05-19;Die Hard: With a Vengeance;90000000;366101666;128;tt0112864;United States of America;1;Twentieth Century Fox Film Corporation;2;Action;2;John McTiernan;1;John McTiernan;2;17
Tuesday after christmas;7;06/12/2014;4;none;55151;ro;14;6.5;2010-05-13;Marți, după Crăciun;0;20666;99;tt1470024;Romania;1;Multimedia Est;6;Drama;2;Radu Muntean;1;Dragos Vilcu;1;6
Fist of legend;7,6;29/11/2014;4;ESMPA;17809;en;103;7.4;1994-12-22;Jing wu ying xiong;0;1907743;103;tt0110200;Hong Kong;1;Eastern Productions;1;Action;1;Gordon Chan;1;none;0;12
A Dirty Carnival;7,5;29/11/2014;2;none;23538;ko;46;6.7;2006-06-15;비열한 거리;4700000;0;141;tt0821442;South Korea;1;none;0;Crime;3;Yoo Ha;1;none;0;10
Traffic;7;28/11/2014;2;none;1900;en;517;6.8;2000-12-27;Traffic;48000000;207515725;147;tt0181865;Germany;2;USA Films;5;Thriller;3;Steven Soderbergh;1;Laura Bickford;3;29
The Paper Will Be Blue;7,9;28/11/2014;3;none;73682;en;3;7.3;2006-08-07;Hîrtia va fi albastrã;0;0;92;tt0819895;Romania;1;Multimedia Est;1;Drama;5;Radu Muntean;1;Dragos Vilcu;1;19
New World;7,6;23/11/2014;3;none;11400;en;304;6.4;2005-12-25;The New World;30000000;30536013;135;tt0402399;United States of America;1;New Line Cinema;5;Drama;3;Terrence Malick;1;Sarah Green;1;15
The beyond;6,9;22/11/2014;1;E;284289;en;128;5.4;2015-04-17;Beyond the Reach;0;45895;95;tt2911668;United States of America;1;Furthur Films;1;Thriller;1;Jean-Baptiste Léonetti;1;Michael Douglas;2;7
Guardians of the galaxy;8,5;22/11/2014;4;ESMPA;118340;en;8510;7.8;2014-07-30;Guardians of the Galaxy;170000000;773328629;121;tt2015381;United Kingdom;2;Marvel Studios;4;Action;3;James Gunn;1;Kevin Feige;1;78
Interstellar;9,1;14/11/2014;4;ES;157336;en;9668;8.1;2014-11-05;Interstellar;165000000;675120017;169;tt0816692;Canada;3;Paramount Pictures;5;Adventure;3;Christopher Nolan;1;Lynda Obst;3;36
Die Hard;8,3;14/11/2014;3;ESMPA;562;en;3700;7.4;1988-07-15;Die Hard;28000000;140767956;131;tt0095016;United States of America;1;Twentieth Century Fox Film Corporation;3;Action;2;John McTiernan;1;Lawrence Gordon;3;47
12:08 East of Bucharest;7,4;11/11/2014;3;none;24159;ro;21;6.5;2006-06-02;A fost sau n-a fost?;0;0;89;tt0809407;Romania;1;42 Km Film;1;Comedy;2;Corneliu Porumboiu;1;Corneliu Porumboiu;1;5
King of kong;8,2;09/11/2014;3;ESM;13958;en;136;8.1;2007-08-17;The King of Kong;0;0;79;tt0923752;United States of America;1;New Line Cinema;2;Documentary;1;Seth Gordon;1;none;0;17
Wreck-it Ralph;7,8;08/11/2014;3;ESMPA;82690;en;4295;7.1;2012-11-01;Wreck-It Ralph;165000000;471222889;108;tt1772341;United States of America;1;Walt Disney Animation Studios;1;Family;4;Rich Moore;1;Monica Lago-Kaytis;2;66
Blood Island;7,3;01/11/2014;2;none;85200;en;1;2;1982-01-08;Island of Blood;0;0;82;tt0229480;none;0;none;0;Horror;1;William T. Naud;1;none;0;11
Babe;6,9;11/10/2014;3;ESMPA;9598;en;641;6;1995-07-18;Babe;30000000;254134910;89;tt0112431;Australia;2;Universal Pictures;2;Fantasy;4;Chris Noonan;1;Bill Miller;3;18
Stargate;7;11/10/2014;2;ESMPA;2164;en;841;6.8;1994-10-27;Stargate;55000000;196567262;121;tt0111282;France;2;Centropolis Entertainment;3;Action;3;Roland Emmerich;1;Dean Devlin;3;15
Edge of tomorrow;8,1;04/10/2014;4;ESMPA;137113;en;4497;7.7;2014-05-27;Edge of Tomorrow;178000000;370541256;113;tt1631867;Australia;2;Village Roadshow Pictures;6;Action;2;Doug Liman;1;Gregory Jacobs;5;40
Titanic;7,7;27/09/2014;2;ESMPA;597;en;6737;7.5;1997-11-18;Titanic;200000000;1845034188;194;tt0120338;United States of America;1;Paramount Pictures;3;Drama;3;James Cameron;1;James Cameron;2;136
Avatar;7,9;20/09/2014;2;ESMPA;19995;en;10890;7.2;2009-12-10;Avatar;237000000;2781505847;162;tt0499549;United States of America;2;Ingenious Film Partners;4;Action;4;James Cameron;1;James Cameron;2;83
Cube;7,4;07/09/2014;3;ES;431;en;897;6.9;1997-09-09;Cube;250000;501818;90;tt0123755;Canada;1;Téléfilm Canada;7;Thriller;3;Vincenzo Natali;1;Mehra Meh;2;7
Pee Wee's Big Adventure;7,4;07/09/2014;2;ESMPA;5683;en;222;6.5;1985-07-26;Pee-wee's Big Adventure;6000000;40940662;90;tt0089791;United States of America;1;Aspen Film Society;2;Adventure;2;Tim Burton;1;Richard Gilbert Abramson;2;18
Monsters;6,4;05/09/2014;2;E;43933;en;540;6.2;2010-06-18;Monsters;500000;4242978;94;tt1470827;United Kingdom;1;Vertigo Entertainment;1;Drama;3;Gareth Edwards;1;Allan Niblo;2;5
Alien resurrection;6,3;31/08/2014;4;ES;8078;en;1211;5.9;1997-11-12;Alien: Resurrection;70000000;162000000;109;tt0118583;United States of America;1;Twentieth Century Fox Film Corporation;2;Science Fiction;3;Jean-Pierre Jeunet;1;Bill Badalato;5;25
The secret life of walter mitty;7,4;30/08/2014;3;ESMPA;116745;en;2898;7;2013-12-18;The Secret Life of Walter Mitty;90000000;188133322;114;tt0359950;United States of America;1;New Line Cinema;8;Adventure;4;Ben Stiller;1;Ben Stiller;4;13
Pontypool;6,7;24/08/2014;3;E;23963;en;165;6.6;2009-03-06;Pontypool;1500000;32000;93;tt1226681;Canada;1;Ponty Up Pictures;2;Horror;3;Bruce McDonald;1;Jeffrey Coghlan;2;13
Hook;6,6;22/08/2014;3;ESMPA;879;en;1349;6.6;1991-12-11;Hook;70000000;300854823;144;tt0102057;United States of America;1;Amblin Entertainment;2;Adventure;4;Steven Spielberg;1;Frank Marshall;7;30
Jumanji;6,8;22/08/2014;2;ESMPA;8844;en;1954;6.8;1995-12-15;Jumanji;65000000;262797249;104;tt0113497;United States of America;1;TriStar Pictures;3;Adventure;3;Joe Johnston;1;William Teitler;2;26
36th precinct;7,2;13/08/2014;2;none;7291;fr;95;6.7;2004-11-24;36 Quai des Orfèvres;0;0;111;tt0390808;France;1;Gaumont;7;Crime;3;Olivier Marchal;1;Franck Chorot;3;30
Duma;7,3;13/08/2014;2;ESMPA;15907;en;36;6.9;2005-04-22;Duma;12000000;0;100;tt0361715;South Africa;1;John Wells Productions;4;Adventure;3;Carroll Ballard;1;none;0;9
Transcendence;6,4;02/08/2014;1;none;157353;en;2105;5.9;2014-04-16;Transcendence;100000000;103039258;119;tt2209764;China;3;Alcon Entertainment;4;Thriller;4;Wally Pfister;1;Kate Cohen;7;41
Rise of the planet of the apes;7,6;01/08/2014;3;ESMPA;61791;en;3779;7;2011-08-03;Rise of the Planet of the Apes;93000000;482860185;105;tt1318514;United States of America;1;Ingenious Film Partners;7;Thriller;4;Rupert Wyatt;1;Peter Chernin;4;21
Dawn of the planet of the apes;8,3;01/08/2014;3;ES;119450;en;3807;7.3;2014-06-26;Dawn of the Planet of the Apes;170000000;710644566;130;tt2103281;United States of America;1;Ingenious Media;3;Science Fiction;4;Matt Reeves;1;Amanda Silver;4;33
Sleep Dealer;5,9;31/07/2014;3;E;20764;en;37;5.9;2008-12-10;Sleep Dealer;2500000;107559;90;tt0804529;Mexico;2;Likely Story;1;Drama;3;Alex Rivera;1;none;0;3
Lassie;5,8;30/07/2014;2;ESMPA;14597;en;32;6.8;2005-12-16;Lassie;0;0;100;tt0431213;France;4;Odyssey Entertainmant;1;Adventure;3;Charles Sturridge;1;none;0;16
Secondhand lions;7,6;30/07/2014;3;ESMPA;13156;en;246;6.9;2003-09-19;Secondhand Lions;0;0;111;tt0327137;United States of America;1;New Line Cinema;1;Comedy;3;Tim McCanlies;1;none;0;13
Her;8,1;23/07/2014;5;none;152601;en;3658;7.8;2013-12-18;Her;23000000;47351251;126;tt1798709;China;2;Warner Bros.;2;Romance;3;Spike Jonze;1;Megan Ellison;3;37
Dawn of the dead;7,4;22/07/2014;4;ES;924;en;918;6.8;2004-03-19;Dawn of the Dead;28000000;102356381;101;tt0363547;United States of America;1;New Amsterdam Entertainment;5;Fantasy;3;Zack Snyder;1;Marc Abraham;3;19
Flight of the navigator;6,9;22/07/2014;3;S;10122;en;209;6.9;1986-07-30;Flight of the Navigator;0;18564613;90;tt0091059;United States of America;1;Walt Disney Pictures;3;Family;3;Randal Kleiser;1;Dimitri Villard;3;7
Dark Star;6,6;21/07/2014;1;none;1410;en;101;6;1974-04-01;Dark Star;60000;0;83;tt0069945;United States of America;1;University of Southern California;2;Comedy;2;John Carpenter;1;John Carpenter;1;9
War of the worlds;6,5;20/07/2014;4;ES;74;en;2014;6.1;2005-06-23;War of the Worlds;132000000;591739379;116;tt0407304;United States of America;1;Paramount Pictures;4;Adventure;3;Steven Spielberg;1;Kathleen Kennedy;2;29
The wolfpack;7,1;07/02/2016;2;none;307931;en;111;6.7;2015-06-12;The Wolfpack;0;1301696;89;tt2415458;United States of America;1;Verisimilitude;2;Documentary;1;Crystal Moselle;1;Izabella Tzenkova;4;11
Appleseed alpha;0;19/07/2014;1;ESMPA;269650;en;145;6.4;2014-05-28;Appleseed Alpha;0;0;90;tt3638012;Japan;2;Stage 6 Films;1;Animation;3;Shinji Aramaki;1;Joseph Chou;1;11
Akira;8,1;19/07/2014;4;ES;149;ja;688;7.8;1988-07-16;アキラ;8000000;553171;124;tt0094625;Japan;1;Bandai Visual Company;8;Science Fiction;2;Katsuhiro Ōtomo;1;Haruyo Kanesaku;6;12
Day of the Wacko;8,2;13/07/2014;3;none;20719;pl;25;7.2;2002-07-07;Dzień Świra;0;0;93;tt0330243;Poland;1;none;0;Comedy;1;Marek Koterski;1;none;0;5
Lego movie;8,1;29/06/2014;2;ESMPA;324849;en;1122;7.2;2017-02-08;The Lego Batman Movie;80000000;310032902;104;tt4116284;Denmark;2;Lin Pictures;7;Fantasy;5;Chris McKay;1;Roy Lee;4;31
The Grand Budapest Hotel;8,4;29/06/2014;3;none;120467;en;4040;8;2014-02-26;The Grand Budapest Hotel;30000000;174600318;99;tt2278388;United Kingdom;3;Fox Searchlight Pictures;6;Comedy;2;Wes Anderson;1;Wes Anderson;4;99
Goonies;7,8;28/06/2014;3;ESMPA;9340;en;1348;7.4;1985-06-06;The Goonies;19000000;61389680;114;tt0089218;United States of America;1;Amblin Entertainment;2;Adventure;3;Richard Donner;1;Harvey Bernhard;2;20
Angels With Dirty Faces;8;27/06/2014;3;E;13696;en;67;7.6;1938-11-26;Angels with Dirty Faces;0;0;97;tt0029870;United States of America;1;Warner Bros.;1;Drama;3;Michael Curtiz;1;Samuel Bischoff;3;18
Jimmy P.;6;21/06/2014;1;none;160768;en;26;5.8;2013-09-11;Jimmy P.;10000000;30283;117;tt2210834;France;1;Why Not Productions;3;Drama;1;Arnaud Desplechin;1;Pascal Caucheteux;3;12
Matador;7;15/06/2014;2;none;8047;es;38;6.6;1986-03-07;Matador;0;0;110;tt0091495;Spain;1;Compañía Iberoamericana de TV;1;Drama;2;Pedro Almodóvar;1;Andrés Vicente Gómez;1;8
We Need to Talk About Kevin;7,5;13/06/2014;3;none;71859;en;603;7.4;2011-09-28;We Need to Talk About Kevin;7000000;6038942;112;tt1242460;United Kingdom;2;BBC Films;2;Drama;2;Lynne Ramsay;1;Jennifer Fox;3;10
Hot fuzz;7,9;09/06/2014;2;E;4638;en;2007;7.4;2007-02-14;Hot Fuzz;12000000;80573774;121;tt0425112;United Kingdom;1;Universal Pictures;5;Crime;3;Edgar Wright;1;Tim Bevan;3;45
Despicable 2;7,7;09/06/2014;2;none;93456;en;4202;7;2013-06-25;Despicable Me 2;76000000;970761885;98;tt1690953;United States of America;1;Universal Pictures;2;Animation;3;Pierre Coffin;2;Christopher Meledandri;1;39
Warrior;0;01/06/2014;2;none;59440;en;1153;7.7;2011-09-09;Warrior;25000000;23057115;140;tt1291584;United States of America;1;Solaris Film;4;Action;2;Gavin O'Connor;1;Gavin O'Connor;5;28
Grave Of The Fireflies;8,5;31/05/2014;5;none;356562;ja;2;9;;Grave of the Fireflies;0;0;89;;none;0;none;0;Animation;2;none;0;none;0;0
Un amour de jeunesse;6,5;31/05/2014;2;none;82327;fr;29;6.4;2011-07-04;Un amour de jeunesse;4500000;0;108;tt1618447;France;2;Centre National de la Cinématographie;16;Drama;2;Mia Hansen-Løve;1;Philippe Martin;5;11
ida;7,5;25/05/2014;2;none;209274;pl;240;7.1;2013-10-25;Ida;2159280;10700000;80;tt2718492;Denmark;4;Danish Film Institute;9;Drama;1;Paweł Pawlikowski;1;Ewa Puszczynska;3;10
Elephant Man;7;25/05/2014;5;none;1955;en;630;7.8;1980-10-02;The Elephant Man;5000000;26010864;124;tt0080678;United Kingdom;2;Brooksfilms;1;Drama;2;David Lynch;1;Jonathan Sanger;1;53
return to oz;6,7;24/05/2014;2;none;13155;en;104;6.6;1985-06-21;Return to Oz;25000000;11137801;109;tt0089908;United Kingdom;2;Silver Screen Partners II;2;Adventure;3;Walter Murch;1;Paul Maslansky;1;13
How to train your dragon;8,2;17/05/2014;4;ESMPA;10191;en;3821;7.5;2010-03-05;How to Train Your Dragon;165000000;494878759;98;tt0892769;United States of America;1;DreamWorks Animation;3;Fantasy;4;Dean DeBlois;2;Bonnie Arnold;1;13
The belly of an architect;7;15/05/2014;2;none;17238;en;22;6.6;1987-09-23;The Belly of an Architect;0;0;118;tt0092637;Italy;2;British Screen;7;Drama;1;Peter Greenaway;1;Walter Donohue;2;10
Killer Joe;6,7;12/05/2014;1;none;73567;en;380;6.4;2011-09-10;Killer Joe;10000000;3665069;102;tt1726669;United States of America;1;Voltage pictures;4;Drama;2;William Friedkin;1;Nicolas Chartier;2;13
Dragonheart;6,4;10/05/2014;2;ESMPA;8840;en;461;6.3;1996-05-31;DragonHeart;57000000;115267375;103;tt0116136;United States of America;1;Universal Pictures;1;Fantasy;1;Rob Cohen;1;Raffaella De Laurentiis;1;18
Shotgun Stories;7,3;10/05/2014;2;none;12247;en;51;6.9;2007-10-01;Shotgun Stories;0;0;92;tt0952682;United States of America;1;Upload Films;3;Drama;2;Jeff Nichols;1;David Gordon Green;5;15
Like father like son;5;05/05/2014;5;none;38322;en;283;5.3;2011-02-16;Big Mommas: Like Father, Like Son;32000000;83615414;107;tt1464174;United States of America;1;Twentieth Century Fox Film Corporation;7;Crime;3;John Whitesell;1;David T. Friendly;2;10
Edward Scissorhands;8;04/05/2014;3;ESMPA;162;en;3121;7.5;1990-12-05;Edward Scissorhands;20000000;53000000;105;tt0099487;United States of America;1;Twentieth Century Fox Film Corporation;1;Fantasy;3;Tim Burton;1;Denise Di Novi;2;28
The Unbearable Lightness of Being;7,4;03/05/2014;0;none;10644;en;83;6.9;1988-02-05;The Unbearable Lightness of Being;17000000;10006806;171;tt0096332;United States of America;1;The Saul Zaentz Company;1;Comedy;2;Philip Kaufman;1;Paul Zaentz;1;20
Jaws;8,1;02/05/2014;3;ES;578;en;2272;7.5;1975-06-18;Jaws;7000000;470654000;124;tt0073195;United States of America;1;Universal Pictures;2;Horror;3;Steven Spielberg;1;David Brown;2;28
The Good, the Bad and the Ugly;9;26/04/2014;5;ESA;429;it;2085;8.1;1966-12-23;Il buono, il brutto, il cattivo;1200000;6000000;161;tt0060196;United States of America;4;United Artists;4;Western;1;Sergio Leone;1;Alberto Grimaldi;1;40
Le feu follet;6,9;24/04/2014;2;none;2593;fr;36;7.4;1963-10-14;Le Feu Follet;0;0;108;tt0057058;France;1;Nouvelles Éditions de Films (NEF);1;Drama;1;Louis Malle;1;none;0;20
Dallas Buyers Club;8;21/04/2014;2;none;152532;en;2594;7.9;2013-09-07;Dallas Buyers Club;5000000;55198285;117;tt0790636;United States of America;1;Universal Studios;4;Drama;2;Jean-Marc Vallée;1;Robbie Brenner;2;16
Cloak and dagger;6,6;20/04/2014;1;ESMPA;48677;en;37;6.1;1984-08-10;Cloak & Dagger;0;0;101;tt0087065;United States of America;1;Universal Pictures;1;Adventure;3;Richard Franklin;1;Allan Carr;1;8
Confessions;0;13/04/2014;2;none;333600;en;0;0;1972-11-06;Confessions;0;0;11;tt0128138;United States of America;1;none;0;Documentary;1;Curt McDowell;1;Curt McDowell;1;5
Captain Phillips;8;13/04/2014;1;none;109424;en;2312;7.6;2013-10-10;Captain Phillips;55000000;95000000;134;tt1535109;United States of America;1;Columbia Pictures;1;Action;3;Paul Greengrass;1;Dana Brunetti;3;17
La guerre des boutons;8;12/04/2014;4;ESMPA;74945;fr;96;5.7;2011-09-20;La Nouvelle Guerre des boutons;0;0;100;tt1837587;France;1;La Petite Reine;1;Adventure;2;Christophe Barratier;1;none;0;9
Indiana Jones and the Last Crusade;8,3;11/04/2014;3;ESMPA;89;en;2886;7.6;1989-05-24;Indiana Jones and the Last Crusade;48000000;474171806;127;tt0097576;United States of America;1;Lucasfilm;2;Adventure;2;Steven Spielberg;1;Robert Watts;2;51
A Woman Under the Influence;8,2;09/04/2014;3;none;29845;en;77;7.7;1974-09-19;A Woman Under the Influence;0;0;155;tt0072417;United States of America;1;Faces International Films;1;Drama;1;John Cassavetes;1;Sam Shaw;1;11
Space Pirate Captain Harlock;6,4;06/04/2014;2;EMPA;192577;ja;324;6.5;2013-09-07;キャプテンハーロック;30000000;17137302;115;tt2668134;Japan;1;Toei Animation Company;1;Animation;2;Shinji Aramaki;1;none;0;10
The great beauty;7,8;05/04/2014;1;none;421635;en;0;0;;The Great Beauty: Colombia;0;0;4;;none;0;none;0;none;0;none;0;none;0;0
snowpiercer;7,6;04/04/2014;4;none;110415;ko;2608;6.7;2013-08-01;Snowpiercer;39200000;86758912;126;tt1706620;France;4;CJ Entertainment;5;Action;3;Bong Joon-ho;1;Tae-sung Jeong;3;45
Shokuzai;6,3;04/04/2014;4;none;138827;ja;4;6.6;2012-01-07;贖罪;0;0;270;tt2043616;Japan;1;Django Film;2;Drama;1;Kiyoshi Kurosawa;1;none;0;21
Dances with wolves;8;04/04/2014;2;ESMPA;581;en;931;7.5;1990-11-09;Dances with Wolves;22000000;424208848;181;tt0099348;United Kingdom;2;Tig Productions;2;Adventure;3;Kevin Costner;1;Jim Wilson;2;57
Cartouche;6;04/04/2014;3;none;26866;fr;12;6.2;1962-03-07;Cartouche;0;0;0;tt0055832;France;2;none;0;Action;3;Philippe de Broca;1;none;0;5
King of comedy;7,3;04/04/2014;2;none;262;en;254;7.5;1983-02-18;The King of Comedy;20000000;0;109;tt0085794;United States of America;1;Twentieth Century Fox Film Corporation;2;Comedy;2;Martin Scorsese;1;Robert F. Colesberry;3;26
Intouchables;0;04/04/2014;2;ESMPA;77338;fr;4580;8.1;2011-11-02;Intouchables;13000000;426480871;112;tt1675434;France;1;Gaumont;8;Drama;2;Eric Toledano;2;Nicolas Duval-Adassovsky;3;32
Layer Cake;7,4;04/04/2014;2;none;4836;en;523;7;2004-09-30;Layer Cake;6500000;11850214;105;tt0375912;United Kingdom;1;Sony Pictures Classics;2;Drama;3;Matthew Vaughn;1;Adam Bohling;3;18
