title;imdb_rating;viewing_date;personal_rating;children;tmdb_id;original_language;vote_count;vote_average;release_date;original_title;budget;revenue;runtime;imdb_id;production_country;production_countries_number;production_company;production_companies_number;genre;genre_number;director;director_number;producer;producer_number;actor_number
Lo and Behold, Reveries of the Connected World;7,1;02/06/2017;3;none;360030;en;69;6.5;2016-03-04;Lo and Behold: Reveries of the Connected World;0;0;98;tt5275828;United States of America;1;Saville Productions;1;Documentary;1;Werner Herzog;1;Werner Herzog;2;4
Blame;7;28/05/2017;3;none;422128;en;0;0;2017-04-22;Blame;0;0;100;tt4607722;United States of America;1;Reel Enigma;1;Drama;1;Quinn Shephard;1;Quinn Shephard;1;11
Split;7,5;10/04/2017;3;none;381288;en;3432;6.9;2016-11-15;Split;9000000;275028023;117;tt4972582;United States of America;1;Universal Pictures;3;Horror;2;M. Night Shyamalan;1;Mark Bienstock;3;46
Hell or High Water;7,7;09/04/2017;2;none;338766;en;1093;7.2;2016-08-12;Hell or High Water;12000000;37589296;102;tt2582782;United States of America;1;Sidney Kimmel Entertainment;3;Crime;4;David Mackenzie;1;Peter Berg;4;29
Comment c'est loin;6,9;20/05/2017;3;none;366564;fr;141;7.2;2015-12-09;Comment c'est Loin;2023920;0;90;tt4576612;France;1;NoLITa Cinema;1;Comedy;1;Orelsan;1;none;0;6
Citizenfour;8,1;09/04/2017;4;none;293310;en;474;7.9;2014-10-10;Citizenfour;0;0;114;tt4044364;Germany;2;Participant Media;3;Documentary;1;Laura Poitras;1;Mathilde Bonnefoy;3;11
Searching For  Sugar Man;8,2;09/04/2017;5;none;84334;en;262;7.9;2012-06-30;Searching for Sugar Man;0;0;85;tt2125608;Sweden;1;Passion Pictures;3;Documentary;2;Malik Bendjelloul;1;Simon Chinn;2;10
Casting Jonbenet;6,4;19/05/2017;2;none;430826;en;34;5.7;2017-04-28;Casting JonBenet;0;0;81;tt6333052;United States of America;1;Forensic Films;3;Documentary;1;Kitty Green;1;James Schamus;3;15
Legion;8;19/05/2017;3;none;22894;en;566;5.1;2010-01-21;Legion;26000000;67918658;100;tt1038686;United States of America;1;Bold Films;1;Horror;1;Scott Stewart;1;David Lancaster;8;15
Arrival;8;09/04/2017;3;ES;329865;en;4773;7.1;2016-11-10;Arrival;47000000;202107388;113;tt2543164;Canada;2;Paramount Pictures;4;Thriller;4;Denis Villeneuve;1;Dan Cohen;6;72
Atari: Game Over;6,7;09/04/2017;3;none;284470;en;92;6.7;2014-11-19;Atari: Game Over;0;0;66;tt3715406;United States of America;1;Xbox Entertainment Studios;1;Documentary;1;Zak Penn;1;none;0;10
Tony Manero;6,8;11/05/2017;1;none;33774;es;19;6.5;2008-08-28;Tony Manero;0;0;97;tt1223975;Chile;1;Fábula;1;Drama;2;Pablo Larraín;1;none;0;5
Graduation;7,6;15/05/2017;3;none;19203;en;15;5.7;2007-04-24;Graduation;0;0;89;tt0475286;United States of America;1;Blueline Films;1;Action;5;Michael Mayer;1;Robin Bradford;1;6
the white helmets;7,7;09/04/2017;1;none;416211;ar;49;8;2016-09-16;The White Helmets;0;0;40;tt6073176;United Kingdom;1;Grain Media;3;Documentary;2;Orlando von Einsiedel;1;Joanna Natasegara;1;0
Narcos;8,9;09/04/2017;2;none;341087;it;2;8;1992-05-21;Narcos;0;0;0;tt0104971;Italy;2;none;0;Drama;1;none;0;none;0;5
The young pope 1-2;8,5;09/04/2017;2;none
The Blood of Heroes;6,5;09/04/2017;2;S;21512;en;30;5.8;1989-10-19;The Blood of Heroes;0;882290;100;tt0094764;United States of America;2;Handistom Investment;3;Action;3;David Webb Peoples;1;Charles Roven;1;13
Dark City;7,7;29/01/2017;3;ES;2666;en;766;7.2;1998-02-27;Dark City;27000000;27200316;100;tt0118929;Australia;2;New Line Cinema;2;Mystery;2;Alex Proyas;1;Alex Proyas;2;15
Hardcore Henry;6,8;13/04/2017;1;none;325348;en;693;6.2;2015-09-12;Hardcore Henry;10000000;14333790;97;tt3072482;Russia;2;Bazelevs Production;3;Action;3;Ilya Naishuller;1;Timur Bekmambetov;4;13
Real Steel;7,1;15/04/2017;2;SMP;39254;en;2453;6.6;2011-09-28;Real Steel;110000000;299268508;127;tt0433035;India;2;DreamWorks SKG;9;Action;3;Shawn Levy;1;Shawn Levy;3;172
Saint Laurent;7;21/06/2017;1;none;221667;fr;68;6;2014-09-23;Saint Laurent;0;0;150;tt2707848;France;1;EuropaCorp;2;Drama;1;Bertrand Bonello;1;Eric Altmayer;2;14
Nocturama;6,7;15/04/2017;4;E;380623;fr;21;7;2016-08-31;Nocturama;0;0;130;tt4795546;Belgium;3;Rectangle Productions;1;Drama;2;Bertrand Bonello;1;none;0;6
Elle;7,3;15/04/2017;4;none;337674;fr;395;6.6;2016-05-25;Elle;9804690;1017138;130;tt3716530;Belgium;3;France 2 Cinéma;12;Drama;2;Paul Verhoeven;1;Michel Merkt;2;38
All work all play;6,1;29/04/2017;2;M;334679;en;8;5.9;2015-04-20;All Work All Play: The Pursuit of eSports Glory Live;0;0;90;tt4654328;none;0;none;0;Documentary;1;Patrick Creadon;1;none;0;0
Tremors;7,1;01/05/2017;2;E;9362;en;785;6.6;1990-01-19;Tremors;11000000;48572000;96;tt0100814;United States of America;1;Universal Pictures;2;Action;2;Ron Underwood;1;Brent Maddock;2;15
Harmonium;6,3;04/02/2017;2;none;392795;ja;9;6.8;2017-04-20;淵に立つ;0;0;118;tt5182856;Japan;1;none;0;Thriller;1;Koji Fukada;1;none;0;6
The Handmaiden;8,1;20/02/2017;4;none;290098;ko;355;8.1;2016-06-01;아가씨;8575000;1983204;145;tt4016934;South Korea;1;CJ Entertainment;3;Thriller;3;Park Chan-wook;1;Syd Lim;2;8
